episode_id,source,modality,prompt_condition,condition,model,hmm_group_true,hmm_group_scored_by,length,mean_loglik_per_step
human__k1-3ar8diu9_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,89,-1.9205284133009717
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,human,93,-1.3024965800636983
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,93,-4.551355476361026
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,93,-4.742477162689167
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,93,-4.038013425456751
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,93,-2.492900952643111
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,93,-2.080543326262104
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,93,-2.885539271747879
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,93,-2.2044342412243014
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,93,-3.8058685061905426
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,93,-5.021708581126736
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,93,-2.2356332156515077
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,93,-4.828445898303005
human__k1-3wo8c2w_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,93,-2.021665275107492
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,human,35,-1.4987139129015514
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,35,-4.447198325568045
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,35,-2.8565496674759596
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,35,-2.5406588879476617
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,35,-2.0715539120026785
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__normal,35,-1.7895103967844657
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__chart__student,35,-2.0407530691221107
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__normal,35,-3.4593751712986873
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen25_vl_7b__simulation__student,35,-3.645448569725939
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__normal,35,-2.691397227305172
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_4b__text__student,35,-2.517785430430434
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__normal,35,-3.265730685604345
human__k1-4oujvbay_sim1.pkl,human,human,human,human,human,human,qwen35_9b__text__student,35,-2.012248536162973
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,human,85,-1.205861109122422
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__normal,85,-4.532851078842851
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__chart__student,85,-4.01609036674772
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__normal,85,-3.5435843447152693
human__k1-5cx5i7tg_sim1.pkl,human,human,human,human,human,human,qwen25_vl_3b__simulation__student,85,-2.7359731773931633
